,accuracy,activation_1,activation_2,dropout_rate
0,1.3761467889908259,relu,relu,0.1
1,1.6819571865443423,relu,relu,0.2
2,0.764525993883792,relu,relu,0.5
3,1.529051987767584,relu,selu,0.1
4,0.45871559633027525,relu,selu,0.2
5,0.9174311926605505,relu,selu,0.5
6,1.3761467889908259,relu,linear,0.1
7,1.6819571865443423,relu,linear,0.2
8,2.1406727828746175,relu,linear,0.5
9,0.1529051987767584,relu,sigmoid,0.1
10,0.764525993883792,relu,sigmoid,0.2
11,0.1529051987767584,relu,sigmoid,0.5
12,2.4464831804281344,selu,relu,0.1
13,2.4464831804281344,selu,relu,0.2
14,0.1529051987767584,selu,relu,0.5
15,0.764525993883792,selu,selu,0.1
16,0.764525993883792,selu,selu,0.2
17,0.6116207951070336,selu,selu,0.5
18,0.3058103975535168,selu,linear,0.1
19,0.1529051987767584,selu,linear,0.2
20,0.45871559633027525,selu,linear,0.5
21,2.1406727828746175,selu,sigmoid,0.1
22,0.9174311926605505,selu,sigmoid,0.2
23,1.2232415902140672,selu,sigmoid,0.5
24,1.3761467889908259,linear,relu,0.1
25,1.3761467889908259,linear,relu,0.2
26,0.6116207951070336,linear,relu,0.5
27,0.6116207951070336,linear,selu,0.1
28,0.45871559633027525,linear,selu,0.2
29,0.45871559633027525,linear,selu,0.5
30,0.45871559633027525,linear,linear,0.1
31,0.3058103975535168,linear,linear,0.2
32,0.1529051987767584,linear,linear,0.5
33,0.3058103975535168,linear,sigmoid,0.1
34,0.1529051987767584,linear,sigmoid,0.2
35,2.4464831804281344,linear,sigmoid,0.5
36,0.45871559633027525,sigmoid,relu,0.1
37,1.2232415902140672,sigmoid,relu,0.2
38,1.6819571865443423,sigmoid,relu,0.5
39,3.82262996941896,sigmoid,selu,0.1
40,1.529051987767584,sigmoid,selu,0.2
41,2.7522935779816518,sigmoid,selu,0.5
42,0.6116207951070336,sigmoid,linear,0.1
43,2.293577981651376,sigmoid,linear,0.2
44,0.764525993883792,sigmoid,linear,0.5
45,1.3761467889908259,sigmoid,sigmoid,0.1
46,0.3058103975535168,sigmoid,sigmoid,0.2
47,2.1406727828746175,sigmoid,sigmoid,0.5
